orderID,orderPrice,salesTax,orderDate,orderTime,tips,employeeID,customerID
1,8.17,0.42,2025-10-24,13:37:40,1,5,14
2,24.12,1.12,2025-10-06,18:27:52,5,2,48
3,11.52,0.62,2025-01-19,13:45:20,1,7,126
4,7.43,0.38,2025-02-15,13:40:39,1,9,132
5,8.58,0.33,2025-05-17,20:20:30,3,4,245
6,21.45,1.2,2026-01-29,18:46:40,1,10,7
7,35.18,1.83,2025-10-04,18:28:59,4,4,211
8,5.62,0.27,2025-12-01,18:54:30,1,5,54
9,19.8,1.05,2025-05-25,17:32:39,2,9,153
10,32.23,1.78,2025-02-27,16:11:47,2,6,150
11,26.27,1.37,2025-06-10,21:04:55,3,5,39
12,37.59,2.09,2025-04-05,20:47:39,2,8,158
13,41.67,2.27,2025-03-25,16:19:27,3,9,108
14,32.26,1.66,2025-11-14,16:04:11,4,1,236
15,15.64,0.74,2026-01-06,12:10:35,3,10,204
16,37.54,2.09,2025-08-31,15:08:18,2,6,38
17,20.21,1.01,2025-07-19,19:11:08,3,8,18
18,11.09,0.59,2025-12-14,21:41:26,1,1,171
19,20.47,0.97,2025-01-15,21:54:53,4,2,91
20,18.23,0.78,2025-05-02,18:25:53,5,7,126
21,13.96,0.76,2025-03-15,16:10:29,1,4,3
22,7.91,0.41,2025-01-04,14:27:05,1,7,73
23,36.82,1.87,2025-05-02,17:57:49,5,3,140
24,21.7,1.1,2025-03-12,21:19:01,3,7,63
25,15.58,0.68,2025-06-11,11:37:08,4,6,206
26,39.27,2.02,2025-10-14,17:39:51,5,3,237
27,25.81,1.46,2026-02-22,20:39:24,1,4,240
28,27.23,1.48,2025-06-10,17:39:37,2,5,139
29,30.15,1.6,2025-11-10,13:42:01,3,1,12
30,19.96,1.06,2025-04-30,17:48:25,2,5,123
31,50.66,2.86,2025-04-05,13:26:49,2,2,70
32,34.22,1.72,2025-09-28,12:07:04,5,1,88
33,19.24,0.84,2026-04-05,21:20:09,5,10,129
34,14.24,0.54,2025-04-11,15:40:47,5,7,26
35,29.88,1.58,2025-12-08,17:58:38,3,4,94
36,24.12,1.12,2026-01-18,16:13:51,5,4,28
37,21.54,1.09,2025-02-19,12:44:18,3,9,231
38,9.9,0.35,2025-09-20,11:10:11,4,10,245
39,34.03,1.88,2025-01-30,16:21:53,2,6,248
40,6.84,0.34,2025-06-10,19:51:02,1,4,183
41,38.68,1.98,2025-07-18,13:26:20,5,10,24
42,37.44,2.14,2025-02-10,16:48:37,1,5,23
43,22.2,1.25,2026-01-23,17:55:24,1,8,113
44,34.57,1.92,2026-01-20,21:52:59,2,9,143
45,35.71,1.81,2025-03-28,13:11:38,5,4,195
46,11.61,0.51,2025-04-19,11:08:38,3,7,176
47,38.65,2.1,2025-05-29,21:58:11,3,9,230
48,16.28,0.78,2025-12-18,13:23:33,3,3,89
49,30.01,1.71,2025-07-18,16:24:58,1,5,6
50,20.01,1.06,2026-01-26,13:14:11,2,1,48
51,23.65,1.1,2026-02-21,14:14:23,5,4,60
52,23.87,1.17,2025-04-21,16:48:58,4,8,207
53,23.93,1.23,2026-02-07,14:04:26,3,10,81
